ID,Thickness,CP3_y,T0in,p0in,outerTemperature
1, 0.007029870868235047, -0.004962950286193967, 489.0, 823256.6030227967, 359.0
2, 0.005604032136790389, -0.0023139089678276114, 451.0, 753770.6702550657, 376.0
3, 0.006002875039731632, -0.001235450700404813, 507.0, 476838.6449119141, 393.0
4, 0.008307705125272789, -0.007899792480644659, 658.0, 977509.597900329, 322.0
5, 0.0034071243746838517, -0.003504458536777404, 423.0, 519674.71411511814, 291.0
6, 0.00394626714045426, -0.0001552404717671957, 628.0, 528885.670267131, 334.0
7, 0.008522497082579645, -0.012242085614101708, 603.0, 572792.1894719348, 369.0
8, 0.0013969066762980714, -0.012113985497976019, 511.0, 638863.2040519939, 364.0
9, 0.006266477698619202, -0.011654359749028925, 515.0, 792648.4067661152, 351.0
10, 0.006044329228014826, -0.001277584765410799, 616.0, 456429.13834591914, 318.0
11, 0.009696491652582712, -0.0005288125652269677, 406.0, 676574.078840781, 325.0
12, 0.0037729636143557193, -0.0032831486407769485, 445.0, 647395.019209915, 328.0
13, 0.008045553997048038, -0.0008763014962403816, 442.0, 591829.7003727001, 388.0
14, 0.007063503690322192, -0.0096027991237895, 744.0, 907547.2927242544, 377.0
15, 0.00386991412683162, -0.006906689790620711, 492.0, 955961.6077369689, 317.0
16, 0.0034628061000435383, -0.009822655221696843, 501.0, 561808.470488149, 296.0
17, 0.0012660274288667204, -0.004582898865880642, 735.0, 598496.6477400139, 381.0
18, 0.008951804305489353, -0.003868257465011609, 761.0, 902853.9514503604, 368.0
19, 0.009132645381639225, -0.0018852025567048097, 470.0, 946548.6529883532, 303.0
20, 0.002922444050561142, -0.00034837414942396824, 679.0, 695265.3827406695, 394.0
21, 0.007683823942950517, -0.010004569826660608, 771.0, 935033.3846143114, 305.0
22, 0.002277316035540684, -0.0030908754930306075, 648.0, 622539.3234615219, 301.0
23, 0.006835853475536198, -0.010076366292177577, 457.0, 578073.6352556285, 346.0
24, 0.004365193847757923, -0.008478837250851542, 563.0, 603285.6218143932, 392.0
25, 0.004021486200113748, -0.0071752022465560086, 783.0, 956033.1703948553, 388.0
26, 0.0033159112931731263, -0.0036227011201085887, 467.0, 829811.035785336, 305.0
27, 0.0033477212984045924, -0.010475121562392279, 729.0, 748074.4495989383, 337.0
28, 0.0067936173422445, -0.0062099009858241705, 402.0, 683812.713120428, 398.0
29, 0.001352173833297748, -0.009896529813504164, 477.0, 635010.354598234, 329.0
30, 0.007655672225691998, -0.002598262495831269, 727.0, 474827.240052133, 299.0
31, 0.0010628033002547028, -0.007355360684323779, 592.0, 975246.1291839742, 342.0
32, 0.005440349246145253, -0.01149330394178655, 619.0, 466603.49098589487, 316.0
33, 0.006375024552473832, -0.008766342763591329, 515.0, 649967.3296508627, 390.0
34, 0.0021022389288160915, -0.00806661655178864, 641.0, 486104.55856259936, 397.0
35, 0.008602826888413833, -0.007489809426447685, 711.0, 842949.823581059, 366.0
36, 0.0032336711666641586, -0.009718827738731457, 506.0, 982814.4789638359, 360.0
37, 0.0056817705138204775, -0.01078530601836081, 667.0, 666258.2129687422, 376.0
38, 0.009596164461472378, -0.008292750823973344, 587.0, 470842.28555467085, 302.0
39, 0.007388552107095162, -0.0026939828907126383, 643.0, 742639.938172484, 367.0
40, 0.00908814581872159, -0.010218738241499471, 650.0, 673127.0175290492, 372.0
41, 0.0055183736019248815, -0.004650290904494822, 714.0, 787128.3647158064, 294.0
42, 0.003534288480026748, -0.010170088326911207, 740.0, 876130.5009190133, 312.0
43, 0.008697030959988314, -0.009696818862653951, 519.0, 408380.30475870357, 358.0
44, 0.008131497077177204, -0.0023798706920042986, 555.0, 817433.7141193387, 357.0
45, 0.0015089327692258364, -0.0022409023981623984, 800.0, 780611.2982706986, 291.0
46, 0.0050509170317513605, -0.005302411924885923, 499.0, 630753.8363162233, 341.0
47, 0.0016070183930272544, -0.010620018040226342, 724.0, 434017.39855605125, 370.0
48, 0.004801808083227313, -0.0018107203468378207, 561.0, 800448.5045962299, 332.0
49, 0.006996688848262264, -0.005871061549590134, 445.0, 711502.1796991075, 314.0
50, 0.00256575746901274, -0.0064918526668669785, 421.0, 834992.7708656306, 384.0
51, 0.007513818722538183, -0.0014823643451044657, 790.0, 799278.7934745285, 317.0
52, 0.004655302959941383, -0.012216088643081834, 721.0, 610514.160568673, 378.0
53, 0.009343653179297168, -0.004730224963658793, 786.0, 996679.2373817163, 319.0
54, 0.0011894696342428423, -0.00867483389581965, 483.0, 938905.6555508308, 349.0
55, 0.004919688659039098, -0.011312541868269485, 437.0, 703119.3766688681, 298.0
56, 0.009836074248154726, -0.0019785980572762513, 742.0, 921993.3728002599, 395.0
57, 0.0058387954895355336, -0.011983413433843557, 569.0, 789519.4915306831, 373.0
58, 0.0036248348850323, -0.011394910904403959, 781.0, 771019.4200221971, 307.0
59, 0.006201257768363069, -0.0020546091224623603, 583.0, 547466.2065809442, 338.0
60, 0.0056437211978320025, -0.010950130455741957, 579.0, 862567.0052806559, 333.0
61, 0.007206442218059838, -0.0031960748802574487, 697.0, 555101.8727370623, 335.0
62, 0.00920415570774525, -0.009267502390313565, 480.0, 985213.6301773543, 383.0
63, 0.002158431470338001, -0.009045291609997941, 705.0, 652790.6231922922, 348.0
64, 0.0025327739458889994, -0.0025758812034461735, 624.0, 571940.6275655518, 330.0
65, 0.0018890622655904936, -0.005602692310893393, 673.0, 962193.4542267596, 344.0
66, 0.005349936916438148, -0.0077976860951919705, 707.0, 857133.727140449, 346.0
67, 0.0017079842017443292, -0.0054587093555868715, 676.0, 583674.8197305087, 364.0
68, 0.0030795094094014175, -0.00018168262673137932, 751.0, 991896.916119053, 362.0
69, 0.006553422911142142, -0.010392142005495665, 584.0, 894728.7179314599, 358.0
70, 0.0046627433090463966, -0.008215851302274115, 495.0, 815733.6689131764, 360.0
71, 0.006709914733223433, -0.011209002640329504, 431.0, 689068.4916545011, 333.0
72, 0.009244145829258584, -0.0010430521111151128, 777.0, 536809.348198207, 340.0
73, 0.0036531298172913615, -0.011237253130416845, 579.0, 619428.6636420975, 328.0
74, 0.0058638677613755885, -0.008924461872594611, 694.0, 657440.0699150248, 320.0
75, 0.004302788093280616, -0.0016862123049338259, 600.0, 605398.225358115, 292.0
76, 0.009955221580958799, -0.01158325746164447, 690.0, 503563.6329588828, 352.0
77, 0.001160477117523857, -0.004918769102833005, 572.0, 444438.54313800245, 381.0
